ID;TIPO_PECA_PRINCIPAL;SUBGRUPO_PECA;NOME_DA_PECA;CP01_SEC;CP02_ORL;CP03_CNC;CP04_ABD;CP05_PRENSA;CP06_ESQUAD;CP07_EMBALAGEM;CP08_MAO_DE_OBRA
1;COSTAS;;COSTA CHAPAR [0000];1;0;0;0;0;0;1;1
2;COSTAS;;COSTA CHAPAR [0022];1;1;0;0;0;0;1;1
3;COSTAS;;COSTA CHAPAR [2222];1;1;0;0;0;0;1;1
4;COSTAS;;COSTA CHAPAR [1111];1;1;0;0;0;0;1;1
5;COSTAS;;COSTA REBAIXADA [0000];1;0;1;0;0;0;1;1
6;COSTAS;;COSTA PARA REBAIXO [0000];1;0;0;0;0;0;1;1
7;LATERAIS;;LATERAL [0000];1;0;1;0;0;0;1;1
8;LATERAIS;;LATERAL [2000];1;1;1;0;0;0;1;1
9;LATERAIS;;LATERAL [2022];1;1;1;0;0;0;1;1
10;LATERAIS;;LATERAL [2222];1;1;1;0;0;0;1;1
11;LATERAIS;;LATERAL [2100];1;1;1;0;0;0;1;1
12;LATERAIS;;DIVISORIA [2000];1;1;1;1;0;0;1;1
13;LATERAIS;;TRAVESSA [2200];1;1;0;1;0;0;1;1
14;LATERAIS;;PRUMO [2200];1;1;0;1;0;0;1;1
15;TETOS;;TETO [0000];1;0;1;1;0;0;1;1
16;TETOS;;TETO [2000];1;1;1;1;0;0;1;1
17;TETOS;;TETO [2200];1;1;1;1;0;0;1;1
18;TETOS;;TETO [2100];1;1;1;1;0;0;1;1
19;TETOS;;TETO [2222];1;1;1;1;0;0;1;1
20;TETOS;;TETO [2111];1;1;1;1;0;0;1;1
21;FUNDOS;;FUNDO [0000];1;0;1;1;0;0;1;1
22;FUNDOS;;FUNDO [2000];1;1;1;1;0;0;1;1
23;FUNDOS;;FUNDO [2111];1;1;1;1;0;0;1;1
24;FUNDOS;;FUNDO [2222];1;1;1;1;0;0;1;1
25;FUNDOS;;FUNDO [2000] + PES;1;1;1;1;0;0;1;1
26;FUNDOS;;FUNDO [2200] + PES;1;1;1;1;0;0;1;1
27;FUNDOS;;FUNDO [2222] + PES;1;1;1;1;0;0;1;1
28;FUNDOS;;FUNDO [2111] + PES;1;1;1;1;0;0;1;1
29;PRATELEIRA AMOVIVEL;;PRATELEIRA AMOVIVEL [2000];1;1;0;0;0;0;1;1
30;PRATELEIRA AMOVIVEL;;PRATELEIRA AMOVIVEL [2111];1;1;0;0;0;0;1;1
31;PRATELEIRA AMOVIVEL;;PRATELEIRA AMOVIVEL [2222];1;1;0;0;0;0;1;1
32;PRATELEIRA AMOVIVEL;;PRAT. AMOV. [2111] + SUPORTE PRATELEIRA;1;1;0;0;0;0;1;1
33;PRATELEIRA AMOVIVEL;;PRAT. AMOV. [2111] + SUPORTE PRATELEIRA + VARAO + SUPORTE VARAO;1;1;0;0;0;0;1;1
34;PRATELEIRA FIXA;;PRATELEIRA FIXA [0000];1;0;1;1;0;0;1;1
35;PRATELEIRA FIXA;;PRATELEIRA FIXA [2000];1;1;1;1;0;0;1;1
36;PRATELEIRA FIXA;;PRATELEIRA FIXA [2111];1;1;1;1;0;0;1;1
37;PRATELEIRA FIXA;;PRATELEIRA FIXA [2222];1;1;1;1;0;0;1;1
38;PRATELEIRA FIXA;;PRAT. FIXA [2000] + VARAO + SUPORTE VARAO;1;1;1;1;0;0;1;1
39;GAVETAS;;FRENTE GAVETA [2222];1;1;1;0;1;0;1;1
40;GAVETAS;;FRENTE GAVETA [2222] + PUXADOR;1;1;1;0;1;0;1;1
41;GAVETAS;;LATERAL GAVETA [2202];1;1;0;1;2;0;1;1
42;GAVETAS;;TRASEIRA GAVETA [2000];1;1;0;1;1;0;1;1
43;GAVETAS;;FUNDO GAVETA [0022];1;1;0;1;1;0;1;1
44;GAVETAS;;FUNDO GAVETA [0000];1;0;0;0;1;0;1;1
45;REMATES/GUARNICOES;;REMATE VERTICAL [2200];1;1;0;0;0;0;1;1
46;REMATES/GUARNICOES;;RODATETO [0000];1;0;0;0;0;0;1;1
47;REMATES/GUARNICOES;;RODATETO [2200];1;1;0;0;0;0;1;1
48;REMATES/GUARNICOES;;RODATETO [2222];1;1;0;0;0;0;1;1
49;REMATES/GUARNICOES;;RODAPE AGL [0000];1;0;0;0;0;0;1;1
50;REMATES/GUARNICOES;;RODAPE AGL [2200];1;1;0;0;0;0;1;1
51;REMATES/GUARNICOES;;RODAPE AGL [2222];1;1;0;0;0;0;1;1
52;REMATES/GUARNICOES;;RODAPE PVC/ALUMINIO;0;0;0;0;0;1;1;1
53;REMATES/GUARNICOES;;ENCHIMENTO GUARNICAO [2000];1;1;0;0;0;0;1;1
54;REMATES/GUARNICOES;;GUARNICAO PRODUZIDA [2222];1;1;0;0;0;0;1;1
55;REMATES/GUARNICOES;;GUARNICAO COMPRA L;0;0;0;0;0;0;1;1
56;PORTAS ABRIR;;PORTA ABRIR [2222];1;1;1;0;0;0;1;1
57;PORTAS ABRIR;;PORTA ABRIR [2222] + DOBRADICA;1;1;1;0;0;0;1;1
58;PORTAS ABRIR;;PORTA ABRIR [2222] + DOBRADICA + PUXADOR;1;1;1;0;0;0;1;1
59;PORTAS CORRER;;PAINEL CORRER [0000];1;0;0;0;0;0;1;1
60;PORTAS CORRER;;PAINEL CORRER [2222];1;1;0;0;0;0;1;1
61;PORTAS CORRER;;PAINEL ESPELHO [2222];1;1;0;0;0;0;1;1
62;FERRAGENS;DOBRADICAS;DOBRADICA RETA;0;0;0;0;0;0;0;0.1
63;FERRAGENS;DOBRADICAS;DOBRADICA CANTO SEGO;0;0;0;0;0;0;0;0.1
64;FERRAGENS;DOBRADICAS;DOBRADICA ABERTURA TOTAL;0;0;0;0;0;0;0;0.1
65;FERRAGENS;DOBRADICAS;DOBRADICA 1;0;0;0;0;0;0;0;0.1
66;FERRAGENS;DOBRADICAS;DOBRADICA 2;0;0;0;0;0;0;0;0.1
67;FERRAGENS;SUPORTES PRATELEIRA;SUPORTE PRATELEIRA 1;0;0;0;0;0;0;0;0.1
68;FERRAGENS;SUPORTES PRATELEIRA;SUPORTE PRATELEIRA 2;0;0;0;0;0;0;0;0.1
69;FERRAGENS;SUPORTES PRATELEIRA;SUPORTE PAREDE;0;0;7;0;0;0;0;0.1
70;FERRAGENS;SPP (ACESSORIOS AJUSTAVEIS);VARAO {SPP};0;0;0;0;0;3;0;1
71;FERRAGENS;SPP (ACESSORIOS AJUSTAVEIS);PERFIL LAVA LOUCA {SPP};0;0;0;0;0;3;0;1
72;FERRAGENS;SPP (ACESSORIOS AJUSTAVEIS);RODAPE PVC {SPP};0;0;0;0;0;3;0;1
73;FERRAGENS;SPP (ACESSORIOS AJUSTAVEIS);PUXADOR GOLA C {SPP};0;0;3;0;1;3;0;1
74;FERRAGENS;SPP (ACESSORIOS AJUSTAVEIS);PUXADOR GOLA J {SPP};0;0;3;0;1;3;0;1
75;FERRAGENS;SPP (ACESSORIOS AJUSTAVEIS);PUXADOR PERFIL {SPP} 1;0;0;3;0;0;3;0;1
